id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
Immanuel Lutheran Christian Academy,TULSA,NLSA,Private,13,0.769,0.077
INDIAHOMA ES,COMANCHE,INDIAHOMA,Public,12,0.917,0.000
INDIAN MERIDIAN ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,126,0.929,0.079
INDIANOLA ES,PITTSBURG,INDIANOLA,Public,12,1.000,0.000
INOLA ES,ROGERS,INOLA,Public,102,0.971,0.029
IRVING ES,MUSKOGEE,MUSKOGEE,Public,56,0.964,0.000
J. F. KENNEDY ES,CREEK,OILTON,Public,15,0.933,0.067
JACKSON ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,71,0.958,0.000
JACKSON ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,65,0.969,0.015
JACKSON ES (TULSA COUNTY),TULSA,TULSA,Public,48,0.938,0.021
JANE PHILLIPS ES,WASHINGTON,BARTLESVILLE,Public,46,0.543,0.000
JARMAN ES,TULSA,UNION,Public,76,0.987,0.000
JAY ES,DELAWARE,JAY,Public,119,1.000,0.017
JEFFERSON EARLY LRNING CTR,GARVIN,PAULS VALLEY,Public,90,0.967,0.011
JEFFERSON ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,64,0.938,0.000
JEFFERSON ES (MAYES COUNTY),MAYES,PRYOR,Public,42,0.905,0.024
JEFFERSON HEIGHTS ES,CREEK,SAPULPA,Public,47,0.979,0.000
JENKS EAST ES,TULSA,JENKS,Public,303,0.941,0.043
JENKS WEST ES,TULSA,JENKS,Public,327,0.969,0.024
JENNINGS PUBLIC SCHOOL,PAWNEE,JENNINGS,Public,24,0.667,0.042
JOHN D MOELLER ES,KIOWA,SNYDER,Public,32,0.938,0.000
JOHN GLENN ES,OKLAHOMA,WESTERN HEIGHTS,Public,99,0.879,0.010
JOHN ROSS ES,OKLAHOMA,EDMOND,Public,119,0.782,0.025
JOHN W REX CHARTER ELEMENTARY,OKLAHOMA,N/A,Charter,85,0.941,0.024
JOHNSON ES,OKLAHOMA,OKLAHOMA CITY,Public,27,0.889,0.037
JONES ES (OKLAHOMA COUNTY),OKLAHOMA,JONES,Public,85,0.929,0.024
JONES ES (TULSA COUNTY),TULSA,TULSA,Public,41,0.805,0.000
JUSTUS-TIAWAH PUBLIC SCHOOL,ROGERS,JUSTUS-TIAWAH,Public,54,0.907,0.019
KAISER ES,OKLAHOMA,OKLAHOMA CITY,Public,94,0.968,0.011
KANSAS ES,DELAWARE,KANSAS,Public,55,0.909,0.000
KATHERINE I. DAILY ES,CLEVELAND,NOBLE,Public,177,0.944,0.028
KELLEY ES,CLEVELAND,MOORE,Public,39,0.923,0.000
KELLYVILLE ES,CREEK,KELLYVILLE,Public,58,0.931,0.034
KENDALL-WHITTIER ES,TULSA,TULSA,Public,114,0.921,0.026
KENNEDY ES,CLEVELAND,NORMAN,Public,72,0.861,0.056
KEOTA ES,HASKELL,KEOTA,Public,31,0.903,0.000
KERR ES,TULSA,TULSA,Public,87,0.943,0.011
KEY ES,TULSA,TULSA,Public,38,0.763,0.000
KEYSTONE PUBLIC SCHOOL,TULSA,KEYSTONE,Public,30,0.900,0.067
KIEFER ES,CREEK,KIEFER,Public,71,0.817,0.042
KINGSGATE ES,CLEVELAND,MOORE,Public,65,0.815,0.031
KINTA ES,HASKELL,KINTA,Public,16,1.000,0.000
KIOWA ES,PITTSBURG,KIOWA,Public,16,0.750,0.000
KIRKLAND EARLY CHILDHOOD CTR,OKLAHOMA,PUTNAM CITY,Public,37,0.865,0.027
KONAWA ES,SEMINOLE,KONAWA,Public,56,0.964,0.000
KREBS PUBLIC SCHOOL,PITTSBURG,KREBS,Public,60,0.933,0.000
KREMLIN-HILLSDALE ES,GARFIELD,KREMLIN-HILLSDALE,Public,19,0.737,0.000
KROUCH ES,POTTAWATOMIE,TECUMSEH,Public,143,0.972,0.028
L. W. WESTFALL ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,48,0.979,0.021
LAKE PARK ES,OKLAHOMA,PUTNAM CITY,Public,46,0.978,0.000
LAKEVIEW ES,CLEVELAND,NORMAN,Public,27,0.889,0.074
LANE PUBLIC SCHOOL,ATOKA,LANE,Public,25,0.840,0.000
LANIER ES,TULSA,TULSA,Public,50,0.880,0.020
LARKIN BAILEY ES,TULSA,OWASSO,Public,84,0.952,0.036
LATTA ES,PONTOTOC,LATTA,Public,97,0.990,0.010
LAVERNE ES,HARPER,LAVERNE,Public,35,0.914,0.000
Lawton Christian School,COMANCHE,ACTS,Private,18,0.556,0.000
LEE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,76,0.816,0.000
LEE ES (TULSA COUNTY),TULSA,TULSA,Public,68,0.779,0.044
LEEDEY ES,ROGER MILLS,LEEDEY,Public,12,1.000,0.000
LEFLORE ES,LE FLORE,LE FLORE,Public,21,1.000,0.000
LEISURE PARK ES,TULSA,BROKEN ARROW,Public,109,0.982,0.018
LEWIS AND CLARK ES,TULSA,TULSA,Public,75,0.947,0.000
LEXINGTON ES,CLEVELAND,LEXINGTON,Public,61,0.902,0.016
LIBERTY ES (BROKEN ARROW),TULSA,BROKEN ARROW,Public,96,0.896,0.052
LIBERTY ES (LIBERTY),TULSA,LIBERTY,Public,36,0.944,0.028
LIBERTY ES (PONCA CITY),KAY,PONCA CITY,Public,48,0.979,0.021
LIBERTY ES (SAPULPA),CREEK,SAPULPA,Public,39,0.974,0.000
LIBERTY PUBLIC SCHOOL,SEQUOYAH,LIBERTY,Public,36,0.750,0.056
Life Christian Academy,OKLAHOMA,"ICAA, AdvancED",Private,*,*,*
LIMESTONE ES,TULSA,SAND SPRINGS,Public,50,0.900,0.000
Lincoln Christian School,TULSA,"ICAA, AdvancED",Private,51,0.804,0.118
LINCOLN ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,44,0.909,0.045
LINCOLN ES (KAY COUNTY),KAY,PONCA CITY,Public,70,0.929,0.000
LINCOLN ES (MAYES COUNTY),MAYES,PRYOR,Public,111,0.955,0.000
LINDBERGH ES,TULSA,TULSA,Public,59,0.915,0.000
LINWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,67,0.627,0.000
LITTLE AXE ES,CLEVELAND,LITTLE AXE,Public,97,1.000,0.000
LOCUST GROVE EARLY LRNING CTR,MAYES,LOCUST GROVE,Public,85,0.976,0.024
LOMEGA ES,KINGFISHER,LOMEGA,Public,10,1.000,0.000
LONE GROVE PRIMARY ES,CARTER,LONE GROVE,Public,110,0.936,0.000
LONE STAR PUBLIC SCHOOL,CREEK,LONE STAR,Public,103,0.951,0.019
LONE WOLF ES,KIOWA,LONE WOLF,Public,*,*,*
LOOKEBA-SICKLES ES,CADDO,LOOKEBA SICKLES,Public,15,0.867,0.000
LOWREY PUBLIC SCHOOL,CHEROKEE,LOWREY,Public,16,0.875,0.000
LUKFATA PUBLIC SCHOOL,MCCURTAIN,LUKFATA,Public,33,0.970,0.030
LUTHER ES,OKLAHOMA,LUTHER,Public,65,0.846,0.092
LYNN WOOD ES,TULSA,BROKEN ARROW,Public,72,0.917,0.056
M.L. KING JR. ES,OKLAHOMA,OKLAHOMA CITY,Public,48,0.958,0.021
MACARTHUR ES,TULSA,TULSA,Public,54,0.796,0.019
MACOMB ES,POTTAWATOMIE,MACOMB,Public,21,0.905,0.048
MADILL ES,MARSHALL,MADILL,Public,158,0.962,0.013
MADISON ES,CLEVELAND,NORMAN,Public,64,0.953,0.000
MANNFORD EC CTR,CREEK,MANNFORD,Public,89,1.000,0.000
MANNSVILLE PUBLIC SCHOOL,JOHNSTON,MANNSVILLE,Public,11,1.000,0.000
MAPLE PUBLIC SCHOOL,CANADIAN,MAPLE,Public,22,0.955,0.045
MARIETTA ES,LOVE,MARIETTA,Public,92,0.989,0.000
MARK TWAIN ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,48,0.917,0.000
MARK TWAIN ES (STPEHENS COUNTY),STEPHENS,DUNCAN,Public,30,0.967,0.000
MARK TWAIN ES (TULSA COUNTY),TULSA,TULSA,Public,53,0.736,0.019
MARLOW ES,STEPHENS,MARLOW,Public,126,0.992,0.008
Marquette Catholic School,TULSA,OCCSAA,Private,44,0.977,0.023
MARRS ES,TULSA,SKIATOOK,Public,189,0.931,0.063
MARSHALL ES (MCINTOSH COUNTY),MCINTOSH,CHECOTAH,Public,117,0.974,0.000
MARSHALL ES (TULSA COUNTY),TULSA,TULSA,Public,16,0.750,0.000
MARSHALL T. MOORE ES,TULSA,UNION,Public,70,0.929,0.043
MARY WHITE ES,MUSKOGEE,HASKELL,Public,59,0.966,0.017
MAUD ES,POTTAWATOMIE,MAUD,Public,20,1.000,0.100
MAYO DEMONSTRATION ES,TULSA,TULSA,Public,55,0.927,0.036
MAYSVILLE ES,GARVIN,MAYSVILLE,Public,30,0.833,0.000
MAZIE ES,MAYES,CHOUTEAU-MAZIE,Public,12,1.000,0.000
MCAULIFFE ES,TULSA,UNION,Public,109,0.945,0.000
MCCLURE ES,TULSA,TULSA,Public,81,0.889,0.012
MCCORD PUBLIC SCHOOL,OSAGE,MCCORD,Public,56,0.893,0.018
MCCURTAIN ES,HASKELL,MCCURTAIN,Public,16,1.000,0.000
MCKINLEY ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,50,1.000,0.000
MCKINLEY ES (GARFIELD COUNTY),GARFIELD,ENID,Public,56,0.768,0.071
MCKINLEY ES (TULSA COUNTY),TULSA,TULSA,Public,62,0.871,0.016
MCLOUD ES,POTTAWATOMIE,MCLOUD,Public,129,0.953,0.023
MCMURRAY ES,WASHITA,SENTINEL,Public,21,1.000,0.000
MEDFORD ES,GRANT,MEDFORD,Public,26,1.000,0.000
Mercy School Institute,OKLAHOMA,AdvancED,Private,*,*,*
MERRITT ES,BECKHAM,MERRITT,Public,91,0.956,0.011
Messiah Lutheran School,OKLAHOMA,NLSA,Private,14,0.286,0.000
MIDDLEBERG PUBLIC SCHOOL,GRADY,MIDDLEBERG,Public,18,0.944,0.056
MIDWAY ES,MCINTOSH,MIDWAY,Public,16,0.750,0.000
MIDWEST CITY ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,138,0.913,0.014
MILL CREEK ES,JOHNSTON,MILL CREEK,Public,16,0.938,0.000
MILLS ES,TULSA,OWASSO,Public,74,0.878,0.014
MILLWOOD ES,OKLAHOMA,MILLWOOD,Public,60,0.983,0.017
MINCO ES,GRADY,MINCO,Public,51,0.961,0.000
MITCHELL ES,TULSA,TULSA,Public,63,0.937,0.000
MOFFETT PUBLIC SCHOOL,SEQUOYAH,MOFFETT,Public,41,0.951,0.000
MONROE ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,73,0.836,0.055
MONROE ES (GARFIELD COUNTY),GARFIELD,ENID,Public,58,1.000,0.000
MONROE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,49,0.959,0.000
Monte Cassino School,TULSA,AdvancED,Private,71,0.986,0.000
MOORELAND ES,WOODWARD,MOORELAND,Public,35,0.257,0.114
MORRIS ES,OKMULGEE,MORRIS,Public,65,0.954,0.031
MORRISON ES,NOBLE,MORRISON,Public,41,0.951,0.000
MOSELEY PUBLIC SCHOOL,DELAWARE,MOSELEY,Public,22,0.818,0.045
MOSS ES,HUGHES,MOSS,Public,20,0.950,0.050
MOUNTAIN VIEW-GOTEBO ES,KIOWA,MOUNTAIN VIEW-GOTEBO,Public,18,0.889,0.000
MOYERS ES,PUSHMATAHA,MOYERS,Public,13,0.923,0.000
MULDROW ES,SEQUOYAH,MULDROW,Public,90,0.956,0.000
MULHALL-ORLANDO ES,LOGAN,MULHALL-ORLANDO,Public,14,0.786,0.000
MUSTANG CENTENNIAL ES,CANADIAN,MUSTANG,Public,106,0.962,0.009
MUSTANG CREEK ES,CANADIAN,MUSTANG,Public,120,0.975,0.025
MUSTANG ES,CANADIAN,MUSTANG,Public,104,0.952,0.019
MUSTANG LAKEHOMA ES,CANADIAN,MUSTANG,Public,106,0.943,0.019
MUSTANG TRAILS ES,CANADIAN,MUSTANG,Public,157,0.936,0.000
MUSTANG VALLEY ES,CANADIAN,MUSTANG,Public,139,0.942,0.036
MYERS ES,CANADIAN,YUKON,Public,82,0.951,0.049
NANCE ES,CUSTER,CLINTON,Public,168,0.946,0.030
NASHOBA PUBLIC SCHOOL,PUSHMATAHA,NASHOBA,Public,*,*,*
NAVAJO ES,JACKSON,NAVAJO,Public,35,0.971,0.000
NEW LIMA ES,SEMINOLE,NEW LIMA,Public,30,0.900,0.000
NEWCASTLE EARLY CHILDHOOD CTR,MCCLAIN,NEWCASTLE,Public,174,0.931,0.017
NEWKIRK ES,KAY,NEWKIRK,Public,52,0.981,0.000
NICHOLS HILLS ES,OKLAHOMA,OKLAHOMA CITY,Public,72,0.903,0.014
NICOMA PARK ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,123,0.935,0.057
NORTH HIGHLAND ES,OKLAHOMA,OKLAHOMA CITY,Public,40,0.875,0.050
NORTH ROCK CREEK PUBLIC SCHOOL,POTTAWATOMIE,NORTH ROCK CREEK,Public,59,0.966,0.017
NORTHEAST ES (TEXAS COUNTY),TEXAS,GUYMON,Public,70,0.957,0.014
NORTHEAST ES (TULSA COUNTY),TULSA,OWASSO,Public,92,0.957,0.033
NORTHEAST ES AND IS,TULSA,BIXBY,Public,87,0.943,0.046
NORTHERN HILLS ES,OKLAHOMA,EDMOND,Public,114,0.798,0.096
NORTHMOOR ES,CLEVELAND,MOORE,Public,44,0.909,0.000
NORTHRIDGE ES,OKLAHOMA,PUTNAM CITY,Public,120,0.900,0.025
NORTHWEST ES (TULSA COUNTY),TULSA,JENKS,Public,180,0.944,0.028
NORTHWEST ES (WAGONER COUNTY),WAGONER,COWETA,Public,75,0.920,0.027
NORTHWEST HEIGHTS ES,BRYAN,DURANT,Public,158,0.987,0.006
NORTHWOOD ES,CANADIAN,PIEDMONT,Public,113,0.770,0.009
NORTHWOODS FINE ARTS ACADEMY,TULSA,SAND SPRINGS,Public,80,0.888,0.000
NORWOOD PUBLIC SCHOOL,CHEROKEE,NORWOOD,Public,*,*,*
NOWATA ES,NOWATA,NOWATA,Public,69,0.899,0.029
OAK CREST ES,TULSA,BROKEN ARROW,Public,64,0.984,0.016
OAK GROVE PUBLIC SCHOOL,PAYNE,OAK GROVE,Public,21,0.619,0.000
OAKDALE PUBLIC SCHOOL,OKLAHOMA,OAKDALE,Public,77,0.883,0.039
OAKES ES,OKFUSKEE,OKEMAH,Public,65,1.000,0.000
OAKRIDGE ES (CLEVELAND COUNTY),CLEVELAND,MOORE,Public,86,0.919,0.012
OAKRIDGE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,32,0.719,0.000
OKARCHE ES,KINGFISHER,OKARCHE,Public,28,0.964,0.000
OKAY ES,WAGONER,OKAY,Public,26,1.000,0.000
OKEENE ES,BLAINE,OKEENE,Public,23,1.000,0.000
OKLA. VIRTUAL CHARTER ACAD ES,OKLAHOMA,N/A,Charter,99,0.848,0.101
OKLAHOMA CONNECTIONS ACAD ES,OKLAHOMA,N/A,Charter,52,0.769,0.212
Oklahoma School for the Deaf,MURRAY,Oklahoma School for the Deaf,Public,*,*,*
OKLAHOMA UNION ES,NOWATA,OKLAHOMA UNION,Public,46,0.913,0.000
OKMULGEE PRIMARY ES,OKMULGEE,OKMULGEE,Public,136,0.993,0.007
OLIVE ES,CREEK,OLIVE,Public,15,1.000,0.000
OLUSTEE-ELDORADO ES,JACKSON,OLUSTEE-ELDORADO,Public,17,0.765,0.000
OOLOGAH-TALALA LOWER ES,ROGERS,OOLOGAH-TALALA,Public,131,0.809,0.076
OPTIMA PUBLIC SCHOOL,TEXAS,OPTIMA,Public,*,*,*
ORVIS RISNER ES,OKLAHOMA,EDMOND,Public,88,0.909,0.034
OSAGE HILLS PUBLIC SCHOOL,OSAGE,OSAGE HILLS,Public,19,1.000,0.000
OSAGE PUBLIC SCHOOL,MAYES,OSAGE,Public,16,0.938,0.000
OVERHOLSER ES,OKLAHOMA,PUTNAM CITY,Public,81,0.716,0.049
OWEN ES,TULSA,TULSA,Public,63,0.984,0.016
PAMELA HODSON ES,TULSA,OWASSO,Public,70,0.871,0.057
PANAMA ES,LE FLORE,PANAMA,Public,46,0.870,0.000
PAOLI ES,GARVIN,PAOLI,Public,12,0.917,0.083
PARKLAND ES,CANADIAN,YUKON,Public,52,0.962,0.038
Parkview Adventist Academy,OKLAHOMA,OCSDA,Private,*,*,*
PARKVIEW ES (LINCOLN COUNTY),LINCOLN,STROUD,Public,49,0.898,0.000
PARKVIEW ES (OKLAHOMA COUNTY),OKLAHOMA,MIDWEST CITY-DEL CITY,Public,100,0.940,0.000
PARMELEE ES,OKLAHOMA,OKLAHOMA CITY,Public,129,0.915,0.008
PAT HENRY ES,COMANCHE,LAWTON,Public,87,0.805,0.000
PATRICK HENRY ES,TULSA,TULSA,Public,65,0.800,0.062
PAWNEE ES,PAWNEE,PAWNEE,Public,54,1.000,0.000
PEARY ES,TULSA,TULSA,Public,64,0.859,0.000
PEAVINE PUBLIC SCHOOL,ADAIR,PEAVINE,Public,*,*,*
PECKHAM PUBLIC SCHOOL,KAY,PECKHAM,Public,11,0.909,0.091
PENN ES,TULSA,TULSA,Public,43,0.953,0.000
PERKINS-TRYON ES,PAYNE,PERKINS-TRYON,Public,100,0.970,0.010
PERRY ES,NOBLE,PERRY,Public,66,0.939,0.000
PERSHING ES,MUSKOGEE,MUSKOGEE,Public,65,0.908,0.000
PETERS ES,TULSA,UNION,Public,72,0.806,0.028
PIEDMONT ES,CANADIAN,PIEDMONT,Public,120,0.717,0.017
PIERCE ES,OKLAHOMA,OKLAHOMA CITY,Public,24,0.958,0.000
PIONEER PARK ES,COMANCHE,LAWTON,Public,58,0.914,0.000
PIONEER PUBLIC SCHOOL,GRADY,PIONEER,Public,45,0.933,0.022
PIONEER-PLEASANT VALE ES,GARFIELD,PIONEER-PLEASANT VALE,Public,36,0.972,0.028
PITTSBURG ES,PITTSBURG,PITTSBURG,Public,10,1.000,0.000
PLAINVIEW PRIMARY ES,CARTER,PLAINVIEW,Public,102,0.941,0.039
PLATO ES,STEPHENS,DUNCAN,Public,44,0.909,0.000
PLAZA TOWERS ES,CLEVELAND,MOORE,Public,59,0.966,0.017
PLEASANT GROVE PUBLIC SCHOOL,POTTAWATOMIE,PLEASANT GROVE,Public,29,1.000,0.000
PLEASANT HILL EC CTR,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,26,0.923,0.038
POCOLA ES,LE FLORE,POCOLA,Public,58,0.983,0.000
POND CREEK-HUNTER ES,GRANT,POND CREEK-HUNTER,Public,17,0.941,0.000
PORUM ES,MUSKOGEE,PORUM,Public,37,0.973,0.000
Positive Tomorrows,OKLAHOMA,AdvancED,Private,*,*,*
POTEAU PRIMARY ES,LE FLORE,POTEAU,Public,181,0.972,0.017
PRAGUE ES,LINCOLN,PRAGUE,Public,87,0.943,0.011
PRAIRIE ES,TEXAS,GUYMON,Public,73,0.945,0.000
PRAIRIE QUEEN ES,OKLAHOMA,OKLAHOMA CITY,Public,122,0.910,0.000
PRAIRIE VALE ES,OKLAHOMA,DEER CREEK,Public,102,0.873,0.039
PRAIRIE VIEW ES (CANADIAN COUNTY),CANADIAN,MUSTANG,Public,107,0.972,0.000
PRAIRIE VIEW ES (GARFIELD COUNTY),GARFIELD,ENID,Public,71,0.986,0.000
PRATT ES,TULSA,SAND SPRINGS,Public,59,0.949,0.000
PRESTON ES,OKMULGEE,PRESTON,Public,39,0.949,0.000
PRETTY WATER PUBLIC SCHOOL,CREEK,PRETTY WATER,Public,30,0.767,0.100
PRUE ES,OSAGE,PRUE,Public,33,0.727,0.000
PUTNAM HEIGHTS ES,OKLAHOMA,OKLAHOMA CITY,Public,46,0.957,0.022
QUAIL CREEK ES,OKLAHOMA,OKLAHOMA CITY,Public,63,0.905,0.016
QUAPAW ES,OTTAWA,QUAPAW,Public,43,0.791,0.023
QUINTON ES,PITTSBURG,QUINTON,Public,28,0.929,0.000
RALPH DOWNS ES,OKLAHOMA,PUTNAM CITY,Public,65,0.815,0.015
RANCH HEIGHTS ES,WASHINGTON,BARTLESVILLE,Public,83,0.964,0.024
RANCHO VILLAGE ES,OKLAHOMA,OKLAHOMA CITY,Public,54,0.944,0.000
RANCHWOOD ES,CANADIAN,YUKON,Public,95,0.989,0.011
RATTAN ES,PUSHMATAHA,RATTAN,Public,39,1.000,0.000
RAVIA PUBLIC SCHOOL,JOHNSTON,RAVIA,Public,*,*,*
RED OAK ES,CLEVELAND,MOORE,Public,59,0.847,0.017
Regent Preparatory School of Oklahoma,TULSA,ACCS,Private,50,0.780,0.240
RHOADES ES,TULSA,BROKEN ARROW,Public,63,0.968,0.032
RICHARD KANE ES,WASHINGTON,BARTLESVILLE,Public,81,0.889,0.012
RICHMOND ES,PAYNE,STILLWATER,Public,66,0.879,0.076
RIDGECREST ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,75,0.667,0.013
RIDGECREST ES (OKLAHOMA COUNTY),OKLAHOMA,MIDWEST CITY-DEL CITY,Public,46,0.957,0.043
RIDGEVIEW ES,OKLAHOMA,OKLAHOMA CITY,Public,56,0.946,0.018
RINGWOOD ES,MAJOR,RINGWOOD,Public,29,0.862,0.000
RIPLEY ES,PAYNE,RIPLEY,Public,28,0.893,0.071
Riverfield Country Day school,TULSA,ISAS,Private,37,0.676,0.135
RIVERS ES,JACKSON,ALTUS,Public,73,0.973,0.000
RIVERSIDE PUBLIC SCHOOL,CANADIAN,RIVERSIDE,Public,20,0.850,0.050
ROBERTSON ES,TULSA,TULSA,Public,61,0.820,0.000
ROBIN HILL PUBLIC SCHOOL,CLEVELAND,ROBIN HILL,Public,37,0.784,0.027
ROCKDALE ES,OTTAWA,MIAMI,Public,45,0.867,0.044
ROCKWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,83,0.940,0.000
ROFF ES,PONTOTOC,ROFF,Public,20,1.000,0.000
ROLAND ES,SEQUOYAH,ROLAND,Public,50,0.880,0.000
ROLLINGWOOD ES,OKLAHOMA,PUTNAM CITY,Public,69,0.870,0.029
ROOSA ES,ROGERS,CLAREMORE,Public,45,0.911,0.000
ROOSEVELT ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,85,0.918,0.165
ROOSEVELT ES (KAY COUNTY),KAY,PONCA CITY,Public,54,0.944,0.019
ROOSEVELT ES (MAYES COUNTY),MAYES,PRYOR,Public,69,0.928,0.014
ROOSEVELT ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,46,0.957,0.043
ROSA PARKS ES,TULSA,UNION,Public,115,0.887,0.000
ROSE UNION ES,OKLAHOMA,DEER CREEK,Public,60,0.783,0.000
RUSH SPRINGS ES,GRADY,RUSH SPRINGS,Public,26,0.923,0.038
RUSSELL DOUGHERTY ES,OKLAHOMA,EDMOND,Public,44,0.932,0.023
RYAL PUBLIC SCHOOL,MCINTOSH,RYAL,Public,11,0.818,0.000
RYAN ES,JEFFERSON,RYAN,Public,11,0.636,0.000
Sacred Heart Catholic School,CANADIAN,OCCSAA,Private,12,1.000,0.000
SADLER ARTS ACADEMY,MUSKOGEE,MUSKOGEE,Public,44,0.886,0.023
SALINA ES,MAYES,SALINA,Public,49,0.980,0.000
SALK ES,TULSA,TULSA,Public,92,0.924,0.011
SALYER ES,TEXAS,GUYMON,Public,44,0.955,0.000
SANGRE RIDGE ES,PAYNE,STILLWATER,Public,96,0.854,0.031
SANTA FE ES,CLEVELAND,MOORE,Public,49,0.857,0.041
SANTA FE SOUTH EARLY CHILDHOOD,OKLAHOMA,N/A,Charter,86,0.977,0.000
SANTA FE SOUTH HILLS ES,OKLAHOMA,N/A,Charter,87,0.782,0.000
SAVANNA ES,PITTSBURG,SAVANNA,Public,27,1.000,0.000
School of Saint Mary,TULSA,OCCSAA,Private,30,0.933,0.067
SCHULTER ES,OKMULGEE,SCHULTER,Public,11,1.000,0.000
SCHWARTZ ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,47,0.830,0.085
SEILING ES,DEWEY,SEILING,Public,40,1.000,0.000
SEQUOYAH ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,54,0.963,0.037
SEQUOYAH ES (ROGERS COUNTY),ROGERS,SEQUOYAH,Public,87,1.000,0.000
SEQUOYAH ES (TULSA COUNTY),TULSA,TULSA,Public,83,0.916,0.000
SHADY GROVE PUBLIC SCHOOL,CHEROKEE,SHADY GROVE,Public,15,1.000,0.000
SHADY POINT PUBLIC SCHOOL,LE FLORE,SHADY POINT,Public,21,0.810,0.000
SHARON-MUTUAL ES,WOODWARD,SHARON-MUTUAL,Public,18,0.778,0.000
SHAWNEE EC CTR,POTTAWATOMIE,SHAWNEE,Public,263,0.920,0.023
SHEDECK ES,CANADIAN,YUKON,Public,67,0.940,0.000
SHIDLER ES,OKLAHOMA,OKLAHOMA CITY,Public,46,0.978,0.000
SILO ES,BRYAN,SILO,Public,87,0.885,0.023
SKELLY ES,TULSA,TULSA,Public,108,0.833,0.000
SKY RANCH ES,CLEVELAND,MOORE,Public,97,0.897,0.010
SKYLINE ES,PAYNE,STILLWATER,Public,74,0.919,0.054
SKYVIEW ES,CANADIAN,YUKON,Public,111,0.901,0.027
SOLDIER CREEK ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,99,0.859,0.051
SOONER ES,CLEVELAND,MOORE,Public,55,0.945,0.018
SOPER ES,CHOCTAW,SOPER,Public,21,0.952,0.000
SOUTH COFFEYVILLE ES,NOWATA,SOUTH COFFEYVILLE,Public,16,0.938,0.000
SOUTH LAKE ES,CLEVELAND,MOORE,Public,94,0.862,0.053
SOUTH ROCK CREEK PUBLIC SCHOOL,POTTAWATOMIE,SOUTH ROCK CREEK,Public,44,0.909,0.023
SOUTHEAST ES,TULSA,JENKS,Public,183,0.962,0.044
SOUTHERN HILLS ES,OKLAHOMA,OKLAHOMA CITY,Public,89,0.933,0.101
SOUTHGATE-RIPPETOE ES,CLEVELAND,MOORE,Public,75,0.947,0.040
SOUTHSIDE ES,WAGONER,COWETA,Public,98,0.929,0.061
"Special Care, Inc.",OKLAHOMA,AdvancED,Private,20,0.800,0.050
SPENCE MEMORIAL ES,OKFUSKEE,WELEETKA,Public,31,1.000,0.000
SPENCER ES,OKLAHOMA,OKLAHOMA CITY,Public,33,0.970,0.000
SPERRY ES,TULSA,SPERRY,Public,83,0.976,0.000
SPIRO ES,LE FLORE,SPIRO,Public,98,0.980,0.000
SPRING CREEK ES (OKLAHOMA COUNTY),OKLAHOMA,DEER CREEK,Public,122,0.852,0.016
SPRING CREEK ES (TULSA COUNTY),TULSA,BROKEN ARROW,Public,81,0.901,0.086
SPRINGDALE ES,TULSA,TULSA,Public,57,0.947,0.000
St. Catherine Catholic School,TULSA,OCCSAA,Private,14,1.000,0.000
St. Charles Borromeo Catholic School,OKLAHOMA,OCCSAA,Private,18,0.833,0.000
St. Elizabeth Ann Seton Catholic School,OKLAHOMA,OCCSAA,Private,38,1.000,0.000
St. Eugene Catholic School,OKLAHOMA,OCCSAA,Private,29,0.931,0.034
St. James Catholic School,OKLAHOMA,OCCSAA,Private,15,0.933,0.000
St. John Nepomuk Catholic School,CANADIAN,OCCSAA,Private,16,1.000,0.000
St. Joseph Catholic School,MUSKOGEE,OCCSAA,Private,12,0.667,0.083
St. Mary Catholic School,KAY,OCCSAA,Private,16,1.000,0.000
St. Mary Catholic School Guthrie,LOGAN,OCCSAA,Private,23,0.783,0.000
St. Mary's Episcopal School,OKLAHOMA,SAES,Private,21,1.000,0.000
