id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
BURROUGHS ES,TULSA,TULSA,Public,41,0.951,0.000
BUTNER ES,SEMINOLE,BUTNER,Public,21,0.857,0.000
CACHE PRIMARY ES,COMANCHE,CACHE,Public,123,0.870,0.000
CADDO ES,BRYAN,CADDO,Public,21,0.762,0.095
CALERA ES,BRYAN,CALERA,Public,72,0.972,0.000
CALUMET ES,CANADIAN,CALUMET,Public,14,0.929,0.000
CALVIN ES,HUGHES,CALVIN,Public,16,1.000,0.000
CAMERON ES,LEFLORE,CAMERON,Public,28,1.000,0.000
CANADIAN ES,PITTSBURG,CANADIAN,Public,27,0.704,0.000
CANEY ES,ATOKA,CANEY,Public,20,0.900,0.050
CANEY VALLEY ES,WASHINGTON,CANEY VALLEY,Public,60,0.917,0.000
CANTON ES,BLAINE,CANTON,Public,26,0.885,0.000
CANUTE ES,WASHITA,CANUTE,Public,25,0.960,0.000
CAPITOL HILL ES,OKLAHOMA,OKLAHOMA CITY,Public,72,0.778,0.000
CARNEGIE ES (CADDO COUNTY),CADDO,CARNEGIE,Public,43,1.000,0.000
CARNEGIE ES (TULSA COUNTY),TULSA,TULSA,Public,57,0.842,0.105
CARNEY ES,LINCOLN,CARNEY,Public,26,0.923,0.000
CARRIAGE HILLS ES,COMANCHE,LAWTON,Public,42,0.667,0.000
Casady School,OKLAHOMA,ISAS,Private,30,0.900,0.000
CASHION ES,KINGFISHER,CASHION,Public,41,0.902,0.049
CATALAYAH ES,ROGERS,CLAREMORE,Public,62,0.984,0.016
CEDAR RIDGE ES,TULSA,UNION,Public,69,0.971,0.014
CELIA CLINTON ES,TULSA,TULSA,Public,75,0.947,0.013
CENTENNIAL ES,OKLAHOMA,EDMOND,Public,151,0.874,0.026
CENTRAL ES (CANADIAN COUNTY),CANADIAN,YUKON,Public,83,0.976,0.012
CENTRAL ES (CLEVELAND COUNTY),CLEVELAND,MOORE,Public,75,0.893,0.000
CENTRAL ES (GARVIN COUNTY),GARVIN,WYNNEWOOD,Public,49,0.939,0.000
CENTRAL ES (OKLAHOMA COUNTY),OKLAHOMA,PUTNAM CITY,Public,81,0.975,0.012
CENTRAL ES (SEQUOYAH COUNTY),SEQUOYAH,CENTRAL,Public,42,0.881,0.000
CENTRAL ES (TULSA COUNTY),TULSA,BIXBY,Public,220,0.964,0.050
CENTRAL ES (WAGONER COUNTY),WAGONER,COWETA,Public,67,0.896,0.104
CENTRAL HIGH ES (STEPHENS COUNTY),STEPHENS,CENTRAL HIGH,Public,31,0.871,0.065
CENTRAL OAK ES,OKLAHOMA,CROOKED OAK,Public,71,0.704,0.000
CESAR CHAVEZ ES,OKLAHOMA,OKLAHOMA CITY,Public,109,0.844,0.000
CHARLES HASKELL ES,OKLAHOMA,EDMOND,Public,117,0.838,0.051
CHATTANOOGA ES,COMANCHE,CHATTANOOGA,Public,19,0.842,0.000
CHEROKEE ES (ALFALFA COUNTY),ALFALFA,CHEROKEE,Public,36,0.722,0.000
CHEROKEE ES (CHEROKEE COUNTY),CHEROKEE,TAHLEQUAH,Public,90,0.989,0.000
CHEYENNE ES,ROGER MILLS,CHEYENNE,Public,20,0.900,0.000
CHISHOLM ES (GARFIELD COUNTY),GARFIELD,CHISHOLM,Public,87,0.943,0.011
CHISHOLM ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,114,0.904,0.053
CHOCTAW ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,52,0.981,0.019
CHOUTEAU ES,TULSA,TULSA,Public,37,0.892,0.027
CHOUTEAU-MAZIE EC CTR,MAYES,CHOUTEAU-MAZIE,Public,62,0.871,0.000
